date,home_team,away_team,home_score,away_score,league,season,home_xg,away_xg,lahde,vaihe,home_uefa_id,away_uefa_id,home_maa,away_maa,home_nimet,away_nimet
2023-08-08,FC Astana,PFC Ludogorets 1945,2,1,INT-Europa League,2324,,,uefa,QUALIFYING,2600605,2603104,KAZ,BUL,FC Astana|Astana,PFC Ludogorets 1945|Ludogorets
2023-08-10,FK Žalgiris,BK Häcken,1,3,INT-Europa League,2324,,,uefa,QUALIFYING,2602334,69621,LTU,SWE,FK Žalgiris|Žalgiris,BK Häcken|Häcken
2023-08-10,Qarabağ FK,HJK Helsinki,2,1,INT-Europa League,2324,,,uefa,QUALIFYING,60609,50052,AZE,FIN,Qarabağ FK|Qarabağ,HJK Helsinki|HJK
2023-08-10,FC Sheriff Tiraspol,FC BATE Borisov,5,1,INT-Europa League,2324,,,uefa,QUALIFYING,69606,66168,MDA,BLR,FC Sheriff Tiraspol|Sheriff,FC BATE Borisov|BATE
2023-08-10,SK Slavia Praha,SC Dnipro-1,3,0,INT-Europa League,2324,,,uefa,QUALIFYING,52498,2609193,CZE,UKR,SK Slavia Praha|Slavia Praha,SC Dnipro-1|Dnipro-1
2023-08-10,HŠK Zrinjski Mostar,Breiðablik,6,2,INT-Europa League,2324,,,uefa,QUALIFYING,73390,71235,BIH,ISL,HŠK Zrinjski Mostar|Zrinjski,Breiðablik
2023-08-10,Olympiacos FC,KRC Genk,1,0,INT-Europa League,2324,,,uefa,QUALIFYING,2610,61582,GRE,BEL,Olympiacos FC|Olympiacos,KRC Genk|Genk
2023-08-17,HJK Helsinki,Qarabağ FK,1,2,INT-Europa League,2324,,,uefa,QUALIFYING,50052,60609,FIN,AZE,HJK Helsinki|HJK,Qarabağ FK|Qarabağ
2023-08-17,BK Häcken,FK Žalgiris,5,0,INT-Europa League,2324,,,uefa,QUALIFYING,69621,2602334,SWE,LTU,BK Häcken|Häcken,FK Žalgiris|Žalgiris
2023-08-17,Breiðablik,HŠK Zrinjski Mostar,1,0,INT-Europa League,2324,,,uefa,QUALIFYING,71235,73390,ISL,BIH,Breiðablik,HŠK Zrinjski Mostar|Zrinjski
2023-08-17,FC BATE Borisov,FC Sheriff Tiraspol,2,2,INT-Europa League,2324,,,uefa,QUALIFYING,66168,69606,BLR,MDA,FC BATE Borisov|BATE,FC Sheriff Tiraspol|Sheriff
2023-08-17,PFC Ludogorets 1945,FC Astana,5,1,INT-Europa League,2324,,,uefa,QUALIFYING,2603104,2600605,BUL,KAZ,PFC Ludogorets 1945|Ludogorets,FC Astana|Astana
2023-08-17,KRC Genk,Olympiacos FC,1,1,INT-Europa League,2324,,,uefa,QUALIFYING,61582,2610,BEL,GRE,KRC Genk|Genk,Olympiacos FC|Olympiacos
2023-08-17,SC Dnipro-1,SK Slavia Praha,1,1,INT-Europa League,2324,,,uefa,QUALIFYING,2609193,52498,UKR,CZE,SC Dnipro-1|Dnipro-1,SK Slavia Praha|Slavia Praha
2023-08-24,SK Slavia Praha,FC Zorya Luhansk,2,0,INT-Europa League,2324,,,uefa,QUALIFYING,52498,65130,CZE,UKR,SK Slavia Praha|Slavia Praha,FC Zorya Luhansk|Zorya Luhansk
2023-08-24,BK Häcken,Aberdeen FC,2,2,INT-Europa League,2324,,,uefa,QUALIFYING,69621,50122,SWE,SCO,BK Häcken|Häcken,Aberdeen FC|Aberdeen
2023-08-24,PFC Ludogorets 1945,AFC Ajax,1,4,INT-Europa League,2324,,,uefa,QUALIFYING,2603104,50143,BUL,NED,PFC Ludogorets 1945|Ludogorets,AFC Ajax|Ajax
2023-08-24,NK Olimpija Ljubljana,Qarabağ FK,0,2,INT-Europa League,2324,,,uefa,QUALIFYING,53081,60609,SVN,AZE,NK Olimpija Ljubljana|Olimpija,Qarabağ FK|Qarabağ
2023-08-24,GNK Dinamo,AC Sparta Praha,3,1,INT-Europa League,2324,,,uefa,QUALIFYING,50164,50033,CRO,CZE,GNK Dinamo,AC Sparta Praha|Sparta Praha
2023-08-24,R. Union Saint-Gilloise,FC Lugano,2,0,INT-Europa League,2324,,,uefa,QUALIFYING,64125,8538,BEL,SUI,R. Union Saint-Gilloise|Union SG,FC Lugano|Lugano
2023-08-24,ŠK Slovan Bratislava,Aris Limassol FC,2,1,INT-Europa League,2324,,,uefa,QUALIFYING,52797,69529,SVK,CYP,ŠK Slovan Bratislava|S. Bratislava,Aris Limassol FC|Aris Limassol
2023-08-24,KÍ Klaksvík,FC Sheriff Tiraspol,1,1,INT-Europa League,2324,,,uefa,QUALIFYING,57475,69606,FRO,MDA,KÍ Klaksvík|Klaksvík,FC Sheriff Tiraspol|Sheriff
2023-08-24,Olympiacos FC,FK Čukarički,3,1,INT-Europa League,2324,,,uefa,QUALIFYING,2610,60570,GRE,SRB,Olympiacos FC|Olympiacos,FK Čukarički|Čukarički
2023-08-24,LASK,HŠK Zrinjski Mostar,2,1,INT-Europa League,2324,,,uefa,QUALIFYING,63405,73390,AUT,BIH,LASK,HŠK Zrinjski Mostar|Zrinjski
2023-08-31,Qarabağ FK,NK Olimpija Ljubljana,1,1,INT-Europa League,2324,,,uefa,QUALIFYING,60609,53081,AZE,SVN,Qarabağ FK|Qarabağ,NK Olimpija Ljubljana|Olimpija
2023-08-31,FC Zorya Luhansk,SK Slavia Praha,2,1,INT-Europa League,2324,,,uefa,QUALIFYING,65130,52498,UKR,CZE,FC Zorya Luhansk|Zorya Luhansk,SK Slavia Praha|Slavia Praha
2023-08-31,FC Sheriff Tiraspol,KÍ Klaksvík,2,1,INT-Europa League,2324,,,uefa,QUALIFYING,69606,57475,MDA,FRO,FC Sheriff Tiraspol|Sheriff,KÍ Klaksvík|Klaksvík
2023-08-31,Aris Limassol FC,ŠK Slovan Bratislava,6,2,INT-Europa League,2324,,,uefa,QUALIFYING,69529,52797,CYP,SVK,Aris Limassol FC|Aris Limassol,ŠK Slovan Bratislava|S. Bratislava
2023-08-31,AC Sparta Praha,GNK Dinamo,4,1,INT-Europa League,2324,,,uefa,QUALIFYING,50033,50164,CZE,CRO,AC Sparta Praha|Sparta Praha,GNK Dinamo
2023-08-31,FK Čukarički,Olympiacos FC,0,3,INT-Europa League,2324,,,uefa,QUALIFYING,60570,2610,SRB,GRE,FK Čukarički|Čukarički,Olympiacos FC|Olympiacos
2023-08-31,AFC Ajax,PFC Ludogorets 1945,0,1,INT-Europa League,2324,,,uefa,QUALIFYING,50143,2603104,NED,BUL,AFC Ajax|Ajax,PFC Ludogorets 1945|Ludogorets
2023-08-31,FC Lugano,R. Union Saint-Gilloise,0,1,INT-Europa League,2324,,,uefa,QUALIFYING,8538,64125,SUI,BEL,FC Lugano|Lugano,R. Union Saint-Gilloise|Union SG
2023-08-31,Aberdeen FC,BK Häcken,1,3,INT-Europa League,2324,,,uefa,QUALIFYING,50122,69621,SCO,SWE,Aberdeen FC|Aberdeen,BK Häcken|Häcken
2023-08-31,HŠK Zrinjski Mostar,LASK,1,1,INT-Europa League,2324,,,uefa,QUALIFYING,73390,63405,BIH,AUT,HŠK Zrinjski Mostar|Zrinjski,LASK
2023-09-21,R. Union Saint-Gilloise,Toulouse FC,1,1,INT-Europa League,2324,,,uefa,TOURNAMENT,64125,52934,BEL,FRA,R. Union Saint-Gilloise|Union SG,Toulouse FC|Toulouse
